"zip","lat","lng","city","state_id","state_name","zcta","parent_zcta","population","density","county_fips","county_name","county_weights","county_names_all","county_fips_all","imprecise","military","timezone"
"32003","30.09813","-81.71255","Fleming Island","FL","Florida","TRUE","","29766","725.6","12019","Clay","{""12019"": 100}","Clay","12019","FALSE","FALSE","America/New_York"
"32008","29.90351","-82.90311","Branford","FL","Florida","TRUE","","5840","15.0","12067","Lafayette","{""12067"": 46.09, ""12041"": 24.59, ""12121"": 23.75, ""12029"": 5.56}","Lafayette|Gilchrist|Suwannee|Dixie","12067|12041|12121|12029","FALSE","FALSE","America/New_York"
"32009","30.42078","-81.97252","Bryceville","FL","Florida","TRUE","","4045","17.9","12089","Nassau","{""12089"": 100}","Nassau","12089","FALSE","FALSE","America/New_York"
"32011","30.56985","-81.83975","Callahan","FL","Florida","TRUE","","15421","35.3","12089","Nassau","{""12089"": 100}","Nassau","12089","FALSE","FALSE","America/New_York"
"32013","30.19366","-83.29116","Day","FL","Florida","TRUE","","216","7633.6","12067","Lafayette","{""12067"": 100}","Lafayette","12067","FALSE","FALSE","America/New_York"
"32024","30.0793","-82.72597","Lake City","FL","Florida","TRUE","","20670","54.9","12023","Columbia","{""12023"": 81.42, ""12121"": 18.58}","Columbia|Suwannee","12023|12121","FALSE","FALSE","America/New_York"
"32025","30.11266","-82.57072","Lake City","FL","Florida","TRUE","","22948","84.7","12023","Columbia","{""12023"": 100}","Columbia","12023","FALSE","FALSE","America/New_York"
"32033","29.78851","-81.44263","Elkton","FL","Florida","TRUE","","4556","22.4","12109","St. Johns","{""12109"": 100}","St. Johns","12109","FALSE","FALSE","America/New_York"
"32034","30.624","-81.49392","Fernandina Beach","FL","Florida","TRUE","","41029","243.8","12089","Nassau","{""12089"": 100}","Nassau","12089","FALSE","FALSE","America/New_York"
"32038","29.93617","-82.69924","Fort White","FL","Florida","TRUE","","10007","36.1","12023","Columbia","{""12023"": 100}","Columbia","12023","FALSE","FALSE","America/New_York"
"32040","30.24696","-82.23531","Glen Saint Mary","FL","Florida","TRUE","","8978","28.6","12003","Baker","{""12003"": 100}","Baker","12003","FALSE","FALSE","America/New_York"
"32043","29.92991","-81.74304","Green Cove Springs","FL","Florida","TRUE","","34562","58.2","12019","Clay","{""12019"": 93.13, ""12107"": 6.87}","Clay|Putnam","12019|12107","FALSE","FALSE","America/New_York"
"32044","29.85344","-82.16425","Hampton","FL","Florida","TRUE","","2594","57.3","12007","Bradford","{""12007"": 93.71, ""12001"": 6.29}","Bradford|Alachua","12007|12001","FALSE","FALSE","America/New_York"
"32046","30.70253","-81.91718","Hilliard","FL","Florida","TRUE","","10593","20.8","12089","Nassau","{""12089"": 100}","Nassau","12089","FALSE","FALSE","America/New_York"
"32052","30.48683","-82.94499","Jasper","FL","Florida","TRUE","","7441","10.1","12047","Hamilton","{""12047"": 100}","Hamilton","12047","FALSE","FALSE","America/New_York"
